"Task ID","Summary","Issue Type","Parent ID","Priority","Story Points","Labels","Description","Acceptance Criteria"
"TBD-EP-05-UT-03","Diff computation integrity tests","Task","EP-05","Medium","2","uns-meta, ep05, unit-test","- **Background**: Diff merger must respect order and include version metadata from EP-03/04 outputs.
  - **In Scope**:
    - Validate diff aggregator merges device and metric property changes correctly.
    - Ensure diff payload includes version numbers and actor metadata.
    - Confirm idempotent replays produce identical diff outputs.
  - **Out of Scope**:
    - Storage of diffs (handled by EP-04).
  - **References**:
    - docs/Metadata Sync Microservice Solution Design - Release 1.0.md (CDC diffing)","Unit tests compare generated diffs against golden snapshots.
Version ordering preserved for sequential updates.
Duplicate events yield no duplicate diff emissions."
"TBD-EP-05-IT-01","DB writes to CDC consumer pipeline test","Task","EP-05","High","5","uns-meta, ep05, integration-test","- **Background**: Validate real logical replication stream from Postgres to CDC consumer in dockerized environment.
  - **In Scope**:
    - Provision Postgres with publication `uns_meta_pub` and seed sample updates.
    - Connect CDC consumer and confirm diffs emitted to in-memory queue.
    - Measure latency and ensure within design targets (<10s post debounce).
  - **Out of Scope**:
    - Canary API integration.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (DI-04, TC-17)","Integration test spins up replication slot and processes events end-to-end.
Debounce window respected; metrics emitted for latency.
Pipeline resilient to transient disconnect (auto reconnect proven)."
"TBD-EP-05-IT-02","Stress test debounce under burst load","Task","EP-05","Medium","3","uns-meta, ep05, integration-test","- **Background**: Need assurance debounce window handles high-frequency updates without backlog.
  - **In Scope**:
    - Replay synthetic workload with 1k updates per minute on single metric.
    - Confirm throughput and memory metrics meet targets.
    - Capture CPU usage and provide tuning recommendations.
  - **Out of Scope**:
    - Canary throughput tests.
  - **References**:
    - docs/Metadata Sync Microservice Solution Design - Release 1.0.md (Performance goals)","Stress run completes without OOM and within acceptable latency.
Metrics confirm buffer cap not exceeded under configured load.
Report generated with tuning guidance."
"TBD-EP-05-CT-01","CDC diff payload contract","Task","EP-05","High","2","uns-meta, ep05, contract-test","- **Background**: Downstream Canary integration requires stable diff schema.
  - **In Scope**:
    - Define JSON schema for diff payload including debounce metadata.
    - Validate integration tests emit payload matching schema.
    - Publish schema for consumers and version it.
  - **Out of Scope**:
    - Canary-specific fields beyond diff.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (TC-17)","Contract tests fail on schema drift.
Schema stored under `docs/contracts/cdc_diff.json` with changelog.
Communication sent to Canary team about schema availability."
"TBD-EP-05-IMP-01","Build CDC listener service","Task","EP-05","High","5","uns-meta, ep05, implementation","- **Background**: Implement production service that connects to replication slot and emits debounced diffs.
  - **In Scope**:
    - Implement replication connection management, slot creation, and heartbeats.
    - Integrate debounce buffer and diff generator.
    - Expose metrics for lag, buffer depth, and error counts.
  - **Out of Scope**:
    - Canary delivery.
  - **References**:
    - docs/epics/EP-05 - CDC Diff Listener with Debounce.md","Service handles reconnects without losing position.
Metrics appear in observability stack with documented names.
Integration tests pass end-to-end."
"TBD-EP-05-IMP-02","Implement persistence for resume tokens","Task","EP-05","Medium","2","uns-meta, ep05, implementation","- **Background**: Resume tokens ensure CDC restarts continue without duplication.
  - **In Scope**:
    - Store slot positions in durable store with atomic updates.
    - Provide API for manual reset with safeguards.
    - Add smoke test verifying resume after restart.
  - **Out of Scope**:
    - Multi-instance coordination.
  - **References**:
    - docs/Metadata Sync Microservice Solution Design - Release 1.0.md (CDC resiliency)","Resume tokens persist across restarts and remain consistent.
Manual reset endpoint documented and secured.
Smoke test demonstrates restart reliability."
"TBD-EP-05-IMP-03","Debounce configuration documentation","Task","EP-05","Medium","1","uns-meta, ep05, documentation","- **Background**: Operators need clarity on tuning debounce window and buffer caps.
  - **In Scope**:
    - Document configuration parameters, defaults, and recommended values.
    - Provide troubleshooting guidance for lag or backlog scenarios.
    - Reference metrics and alert thresholds.
  - **Out of Scope**:
    - Full SRE runbook for Canary integration.
  - **References**:
    - docs/Metadata Sync Microservice Solution Design - Release 1.0.md (Operations)","Documentation stored at `docs/runbooks/cdc-debounce.md`.
Includes table of configs vs symptoms.
Reviewed by ops lead."
"TBD-EP-06-UT-01","Canary payload mapper unit tests","Task","EP-06","High","3","uns-meta, ep06, unit-test","- **Background**: Mapper converts internal diff model into Canary API payload; requires thorough coverage.
  - **In Scope**:
    - Validate mapping of device/metric fields, canary_id, and properties.
    - Ensure optional fields handled per API contract.
    - Confirm payload size limits enforced with meaningful errors.
  - **Out of Scope**:
    - HTTP transport concerns.
  - **References**:
    - docs/epics/EP-06 - Canary Write API Integration (Rate Limit, Retries).md
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (TC-20)","Unit tests cover happy path and edge cases (missing optional fields, large property sets).
Payload output aligns with documented JSON examples.
Errors reference metric identity for debugging."
"TBD-EP-06-UT-02","Rate limiter and queue behavior tests","Task","EP-06","High","2","uns-meta, ep06, unit-test","- **Background**: Need deterministic tests verifying 500 rps token bucket and queue backpressure.
  - **In Scope**:
    - Simulate burst load and ensure limiter enforces ceiling.
    - Validate drop/timeout behavior when queue full.
    - Confirm metrics reflect queue depth and throttle events.
  - **Out of Scope**:
    - External monitoring configuration (EP-08).
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (TC-21)","Tests assert no more than 500 requests dispatched per second.
Queue overflow triggers configured backpressure response.
Metrics counters increment for throttled events."
"TBD-EP-06-UT-03","Retry and circuit breaker logic tests","Task","EP-06","Medium","3","uns-meta, ep06, unit-test","- **Background**: Reliable delivery hinges on correct retry with jitter and circuit breaker transitions.
  - **In Scope**:
    - Unit tests simulating transient failures, respect for exponential backoff with jitter.
    - Verify circuit transitions closed -> open -> half-open -> closed.
    - Ensure dead-letter callback triggered after max retries.
  - **Out of Scope**:
    - Actual HTTP call integration.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (TC-22)","Retry schedule matches documentation (6 attempts, capped delay).
Circuit breaker state and metrics update correctly.
Dead-letter handler invoked with detailed failure context."
"TBD-EP-06-IT-01","CDC consumer to Canary client integration","Task","EP-06","High","5","uns-meta, ep06, integration-test","- **Background**: Need end-to-end validation from CDC diff queue to Canary API mock.
  - **In Scope**:
    - Feed debounced diffs from EP-05 harness into client.
    - Mock Canary API with controllable latency and failure modes.
    - Measure throughput, success rates, and retried deliveries.
  - **Out of Scope**:
    - Production Canary endpoint.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (DI-05)","Integration test demonstrates successful delivery under normal conditions.
Failure scenarios trigger retries and eventual success or DLQ per design.
Metrics/logs captured for rate limiting and circuit state."
"TBD-EP-06-IT-02","Rate limit soak test","Task","EP-06","Medium","3","uns-meta, ep06, integration-test","- **Background**: Validate sustained throughput at 450 rps without breaching Canary cap.
  - **In Scope**:
    - Drive workload for 15 minutes using synthetic diffs.
    - Monitor limiter metrics, queue depth, and CPU usage.
    - Produce report summarizing headroom and recommendations.
  - **Out of Scope**:
    - Production performance testing.
  - **References**:
    - docs/Metadata Sync Microservice Solution Design - Release 1.0.md (Performance budgets)","Soak test shows zero 429 responses and stable queue depth.
Report stored under `docs/reports/canary-rate-limit.md`.
Recommendations included for scaling."
"TBD-EP-06-CT-01","Canary API contract verification","Task","EP-06","High","2","uns-meta, ep06, contract-test","- **Background**: Formalize contract with Canary `POST /api/v2/storeTagData` endpoint.
  - **In Scope**:
    - Generate OpenAPI snippet representing request/response.
    - Use Pact or similar framework to assert compatibility against mock server.
    - Document required headers, auth tokens, and error payloads.
  - **Out of Scope**:
    - Canary read APIs.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (TC-20)","Contract tests fail on breaking change from Canary team.
OpenAPI fragment stored in `docs/contracts/canary_storeTagData.yaml`.
Change management process documented for contract updates."
"TBD-EP-06-IMP-01","Implement Canary client with rate limiter","Task","EP-06","High","5","uns-meta, ep06, implementation","- **Background**: Need production client that respects rate limits and integrates retries.
  - **In Scope**:
    - Build HTTP client with timeout, auth token management, and structured logging.
    - Integrate token bucket limiter and bounded queue.
    - Emit metrics for requests, retries, failures, and circuit state.
  - **Out of Scope**:
    - Bulk sync workflows.
  - **References**:
    - docs/epics/EP-06 - Canary Write API Integration (Rate Limit, Retries).md","Client meets rate limit guarantees and passes integration tests.
Metrics integrated into observability stack.
Configuration via `.env` validated at startup."
"TBD-EP-06-IMP-02","Implement DLQ/backoff policy","Task","EP-06","Medium","3","uns-meta, ep06, implementation","- **Background**: Ensure unresolvable failures captured without data loss.
  - **In Scope**:
    - Add dead-letter queue storage (Postgres table or object storage) with retention policy.
    - Provide admin tooling for replay.
    - Document escalation procedure when DLQ growth detected.
  - **Out of Scope**:
    - Automated replay scheduling.
  - **References**:
    - docs/Metadata Sync Microservice Solution Design - Release 1.0.md (Error handling)","DLQ entries include payload, error metadata, and retry count.
Replay tooling validated via integration test.
Alerts configured for DLQ threshold (ties into EP-08)."
"TBD-EP-06-IMP-03","Write Canary integration runbook","Task","EP-06","Medium","1","uns-meta, ep06, documentation","- **Background**: Ops needs documented steps for auth rotation, rate limit tuning, and incident response.
  - **In Scope**:
    - Document auth token management, rotation checklist, and fallback.
    - Capture common failure codes with remediation steps.
    - Link to contract tests and integration harness instructions.
  - **Out of Scope**:
    - Canary-side runbooks.
  - **References**:
    - docs/Metadata Sync Microservice Solution Design - Release 1.0.md (Operations)","Runbook stored at `docs/runbooks/canary-integration.md`.
Includes table of failure codes vs actions.
Reviewed by Canary integration stakeholders."
"TBD-EP-07-UT-01","Configuration loader validation tests","Task","EP-07","High","2","uns-meta, ep07, unit-test","- **Background**: Config loader must enforce required env vars, defaults, and secret masking.
  - **In Scope**:
    - Tests covering missing env vars, invalid formats, and fallback defaults.
    - Ensure secrets flagged for masking never appear in error strings.
    - Validate config snapshot exported for observability excludes sensitive fields.
  - **Out of Scope**:
    - Dynamic reload (EP-01 covers for MQTT credentials).
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (SEC-02)","Loader raises descriptive errors for missing/invalid configs.
Snapshot redacts secrets while retaining non-sensitive fields.
Unit tests cover both success and failure paths."
"TBD-EP-07-UT-02","TLS trust store and certificate management tests","Task","EP-07","High","3","uns-meta, ep07, unit-test","- **Background**: TLS helper must load trust stores, validate cert expiration, and enforce TLS 1.3.
  - **In Scope**:
    - Mock trust store loading with rotated certs.
    - Assert helper rejects expired or mismatched host certs.
    - Verify cipher suites limited to approved list.
  - **Out of Scope**:
    - mTLS client certificates.
  - **References**:
    - docs/epics/EP-07 - Security & Configuration (TLS, Secrets).md","Tests fail if TLS version lower than 1.3 permitted.
Expired or mismatched certificates raise actionable errors.
Metrics/logging capture rotation events without secrets."
"TBD-EP-07-UT-03","Secret handling regression tests","Task","EP-07","Medium","2","uns-meta, ep07, unit-test","- **Background**: Need to ensure secrets never leak to logs or panic traces.
  - **In Scope**:
    - Introduce fuzz tests to ensure logging sanitizer removes sensitive patterns.
    - Validate panic handler scrubs secrets before writing crash dumps.
    - Confirm metrics avoid labeling with secret values.
  - **Out of Scope**:
    - External log aggregation.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (SEC-03)","Log output and crash reports contain redacted placeholders.
sanitizer handles unicode and binary secrets without failure.
Tests trigger warnings if new logging paths bypass sanitizer."
"TBD-EP-07-IT-01","TLS end-to-end verification for EMQX and Postgres","Task","EP-07","High","4","uns-meta, ep07, integration-test","- **Background**: Validate service enforces TLS connections to both EMQX and Postgres in a realistic environment.
  - **In Scope**:
    - Launch docker compose with EMQX and Postgres using TLS certs.
    - Confirm clients reject self-signed certs unless trust override set.
    - Capture observability metrics/logs for handshake success/failure.
  - **Out of Scope**:
    - Canary TLS integration.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (SEC-01)","Integration fails when TLS disabled, succeeding when enabled with proper trust.
Logs/metrics capture handshake outcomes.
CI job runs integration test in nightly pipeline."
"TBD-EP-07-IT-02","Permission boundary integration test","Task","EP-07","Medium","3","uns-meta, ep07, integration-test","- **Background**: Ensure database users `uns_meta_app` and `uns_meta_cdc` have least privilege.
  - **In Scope**:
    - Attempt restricted operations (DDL, admin functions) and confirm denied.
    - Verify necessary permissions (select/insert/update) function.
    - Document results for audit.
  - **Out of Scope**:
    - Broader RBAC review.
  - **References**:
    - docs/epics/EP-07 - Security & Configuration (TLS, Secrets).md","Unauthorized operations fail with permission errors.
Authorized operations succeed for normal workflow.
Audit log stored in `docs/reports/db-permissions.md`."
"TBD-EP-07-CT-01","Security posture contract report","Task","EP-07","High","2","uns-meta, ep07, contract-test","- **Background**: Provide consumable report enumerating required TLS versions, cipher suites, and secret storage expectations.
  - **In Scope**:
    - Generate markdown report from automated checks.
    - Version the report and track approval in security wiki.
    - Include checklist referencing SEC test cases.
  - **Out of Scope**:
    - Penetration testing results.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (SEC-01/02/03)","Report generated automatically and stored at `docs/contracts/security_posture.md`.
Any deviation from approved configuration fails CI.
Security lead sign-off recorded."
"TBD-EP-07-IMP-01","Harden configuration management module","Task","EP-07","High","4","uns-meta, ep07, implementation","- **Background**: Need robust config loader with validation, defaults, and secret masking.
  - **In Scope**:
    - Implement typed config structs with validation methods.
    - Integrate with vault or env sourcing as defined.
    - Provide runtime reload hooks where needed.
  - **Out of Scope**:
    - UI for config edits.
  - **References**:
    - docs/Metadata Sync Microservice Solution Design - Release 1.0.md (Configuration)","Module passes unit/integration tests and plugs into services.
Secrets masked in logs and metrics.
Invalid config prevents startup with clear error."
"TBD-EP-07-IMP-02","Implement TLS asset management","Task","EP-07","Medium","3","uns-meta, ep07, implementation","- **Background**: Manage certificates and trust stores for MQTT and Postgres clients.
  - **In Scope**:
    - Provide utility to load certs from disk or secret store.
    - Implement rotation watcher with safe reload.
    - Emit metrics/logging on rotation events.
  - **Out of Scope**:
    - Server-side certificate issuance.
  - **References**:
    - docs/epics/EP-07 - Security & Configuration (TLS, Secrets).md","Cert rotations occur without downtime in staging test.
Metrics/logs capture rotation success/failure.
Documentation updated with rotation steps."
"TBD-EP-07-IMP-03","Security checklist documentation","Task","EP-07","Medium","1","uns-meta, ep07, documentation","- **Background**: Provide go-live checklist covering TLS, secrets, and permissions.
  - **In Scope**:
    - Draft checklist referencing tests and automation.
    - Include escalation contacts and review cadence.
    - Store under security docs with versioning.
  - **Out of Scope**:
    - Broader corporate security policies.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (Security section)","Checklist stored at `docs/runbooks/security-checklist.md`.
Includes mapping to SEC test cases.
Approved by security lead."
"TBD-EP-08-UT-01","Metrics registry coverage","Task","EP-08","High","2","uns-meta, ep08, unit-test","- **Background**: Metrics registry should expose counters, gauges, histograms for all critical workflows.
  - **In Scope**:
    - Unit tests verifying registration of metrics defined in observability spec.
    - Ensure metric names and labels follow naming convention.
    - Validate lazy initialization avoids duplicate registrations.
  - **Out of Scope**:
    - Exporter integration (covered in integration tests).
  - **References**:
    - docs/epics/EP-08 - Observability & Operational Readiness.md","Unit tests confirm presence of ingest, decode, db, cdc, canary metrics.
Label sets validated against spec to prevent cardinality explosion.
Duplicate registration attempts raise errors caught by tests."
"TBD-EP-08-UT-02","Structured logging formatter tests","Task","EP-08","High","2","uns-meta, ep08, unit-test","- **Background**: Logging formatter must produce JSON with correlation ids and redaction.
  - **In Scope**:
    - Tests for log fields, timestamp formatting, level mapping.
    - Validate redaction of sensitive fields works with nested objects.
    - Ensure error stack traces captured in structured fields.
  - **Out of Scope**:
    - External log shipping.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (OBS-02)","Logs render as JSON with required fields present.
Redaction covers configured keys and patterns.
Formatter handles errors without panics."
"TBD-EP-08-UT-03","Alert rule unit validation","Task","EP-08","Medium","1","uns-meta, ep08, unit-test","- **Background**: Ensure Prometheus alert rule templates render correctly with placeholder data.
  - **In Scope**:
    - Use promtool or similar to validate syntax.
    - Provide sample data to ensure alert triggers as expected.
    - Cover alerts for CDC lag, circuit open, and sustained failures.
  - **Out of Scope**:
    - Pagerduty integration.
  - **References**:
    - docs/epics/EP-08 - Observability & Operational Readiness.md","promtool validation passes for all recording/alerting rules.
Unit tests confirm alert expression thresholds align with runbook guidance.
Template variables resolved without missing values."
"TBD-EP-08-IT-01","Prometheus scrape integration test","Task","EP-08","High","3","uns-meta, ep08, integration-test","- **Background**: Validate metrics endpoint exposes expected metrics and responds within latency budget.
  - **In Scope**:
    - Spin up service with instrumentation enabled.
    - Use Prometheus docker container to scrape and verify metric presence.
    - Check performance overhead remains within <10ms per scrape.
  - **Out of Scope**:
    - Long-term retention config.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (OBS-01)","Integration test confirms metrics appear with expected values after workload.
Scrape latency under threshold measured.
CI publishes scrape verification report."
"TBD-EP-08-IT-02","Log pipeline integration test","Task","EP-08","Medium","3","uns-meta, ep08, integration-test","- **Background**: Ensure logs can be shipped to aggregation stack and maintain structure.
  - **In Scope**:
    - Send sample workloads generating error/info logs.
    - Push logs through Fluent Bit or vector to local sink.
    - Verify structure preserved and secrets redacted.
  - **Out of Scope**:
    - Production log platform integration.
  - **References**:
    - docs/Metadata Sync Microservice Solution Design - Release 1.0.md (Logging)","Aggregated logs remain JSON and searchable by correlation id.
Redactions confirmed in downstream sink.
Documentation updated with pipeline steps."
"TBD-EP-08-CT-01","Observability contract catalogue","Task","EP-08","High","2","uns-meta, ep08, contract-test","- **Background**: Provide formal catalogue of metrics, logs, and alerts for stakeholders.
  - **In Scope**:
    - Generate markdown table listing metric names, descriptions, labels, owners.
    - Include JSON schema for log events.
    - Link alert definitions with severity and runbook references.
  - **Out of Scope**:
    - Dashboard definitions.
  - **References**:
    - docs/epics/EP-08 - Observability & Operational Readiness.md","Catalogue stored at `docs/contracts/observability_catalog.md`.
CI check ensures catalogue updated when instrumentation changes.
Stakeholders acknowledge receipt."
"TBD-EP-08-IMP-01","Implement Prometheus instrumentation","Task","EP-08","High","4","uns-meta, ep08, implementation","- **Background**: Add instrumentation within services for ingest, decode, persistence, CDC, and Canary flows.
  - **In Scope**:
    - Register counters/gauges/histograms per spec.
    - Integrate metrics emission in critical code paths.
    - Document metric naming and label usage inline.
  - **Out of Scope**:
    - External alerting config.
  - **References**:
    - docs/epics/EP-08 - Observability & Operational Readiness.md","Metrics available via `/metrics` endpoint.
Unit/integration tests confirm instrumentation.
Performance impact measured and acceptable."
"TBD-EP-08-IMP-02","Implement structured logging stack","Task","EP-08","Medium","3","uns-meta, ep08, implementation","- **Background**: Provide JSON logging with correlation ids and redaction.
  - **In Scope**:
    - Configure logging library with context propagation.
    - Integrate request/metric ids to logs.
    - Ensure error handling logs include stack traces.
  - **Out of Scope**:
    - Log storage infrastructure.
  - **References**:
    - docs/Metadata Sync Microservice Solution Design - Release 1.0.md (Logging)","Logs match structured format across services.
Tests confirm redaction rules applied.
Observability doc references log structure."
"TBD-EP-08-IMP-03","Draft alerting runbook","Task","EP-08","Medium","1","uns-meta, ep08, documentation","- **Background**: Operators require guide linking alerts to actions.
  - **In Scope**:
    - Document alerts, thresholds, escalation contacts.
    - Provide troubleshooting steps per alert.
    - Link to metrics/logging resources.
  - **Out of Scope**:
    - Incident management policy.
  - **References**:
    - docs/epics/EP-08 - Observability & Operational Readiness.md","Runbook stored at `docs/runbooks/alerting.md`.
Includes mapping of alert -> metric -> remediation.
Reviewed by SRE team."
"TBD-EP-09-UT-01","Fixture loader unit tests","Task","EP-09","High","2","uns-meta, ep09, unit-test","- **Background**: Central fixture loader must support Sparkplug payloads, UNS paths, and database snapshots.
  - **In Scope**:
    - Implement tests verifying fixture discovery, schema validation, and caching.
    - Ensure loader handles versioned fixtures with semantic version enforcement.
    - Provide fail-fast errors when fixture missing.
  - **Out of Scope**:
    - Fixture content authoring (handled in other epics).
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (Testing infrastructure)","Unit tests confirm loader returns typed fixture objects.
Missing fixture surfaces descriptive error.
Version mismatches cause test failure with remediation hint."
"TBD-EP-09-UT-02","Test harness utilities coverage","Task","EP-09","High","2","uns-meta, ep09, unit-test","- **Background**: Shared test utilities (e.g., correlation id generator, clock mocks) require coverage to ensure stability.
  - **In Scope**:
    - Add tests for deterministic ID generation, time travel controls, and logging assertions.
    - Ensure utilities thread-safe and documented.
    - Validate utilities support parallel test execution.
  - **Out of Scope**:
    - Production runtime utilities.
  - **References**:
    - docs/Metadata Sync Microservice Solution Design - Release 1.0.md (Testing approach)","Utilities operate correctly under concurrency tests.
Logging assertions capture structured entries.
Clock mocks support time jumps without flakiness."
"TBD-EP-09-UT-03","Coverage threshold guard tests","Task","EP-09","Medium","1","uns-meta, ep09, unit-test","- **Background**: Need automated guards to ensure minimum coverage levels.
  - **In Scope**:
    - Add unit tests verifying coverage report parser rejects builds below threshold.
    - Ensure parser handles multiple language reports (Go, Python, SQL tests) if present.
    - Provide human-friendly failure messaging.
  - **Out of Scope**:
    - Actual coverage improvements (handled per epic).
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (Quality gates)","Guard fails pipeline when coverage < target.
Reports aggregated and published in artifacts.
Failure message links to remediation doc."
"TBD-EP-09-IT-01","Full pipeline smoke test harness","Task","EP-09","High","5","uns-meta, ep09, integration-test","- **Background**: Provide automated smoke test orchestrating MQTT -> decode -> Postgres -> CDC -> Canary mock.
  - **In Scope**:
    - Compose existing harnesses into single workflow.
    - Validate key metrics, logs, and data persistence at each stage.
    - Run in CI nightly with artifact capture.
  - **Out of Scope**:
    - Performance benchmarking.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (End-to-end testing)","Smoke test passes in CI and fails fast on regression.
Artifacts include logs, metrics, DB snapshots for debugging.
Execution time under 20 minutes."
"TBD-EP-09-IT-02","CI environment provisioning test","Task","EP-09","Medium","3","uns-meta, ep09, integration-test","- **Background**: Ensure infrastructure setup scripts (containers, secrets) function reliably in CI.
  - **In Scope**:
    - Add integration test verifying container orchestration and secret injection.
    - Capture timing metrics for setup phases.
    - Provide failure diagnostics when provisioning fails.
  - **Out of Scope**:
    - Production provisioning.
  - **References**:
    - docs/Metadata Sync Microservice Solution Design - Release 1.0.md (DevOps)","CI job provisions services without manual steps.
Failures emit actionable logs and hints.
Setup duration tracked for optimization."
"TBD-EP-09-CT-01","CI quality gate contract","Task","EP-09","High","2","uns-meta, ep09, contract-test","- **Background**: Document and enforce list of required checks before merge.
  - **In Scope**:
    - Define YAML manifest enumerating required jobs, coverage thresholds, linting.
    - Add contract test verifying manifest vs actual pipeline.
    - Publish manifest for team visibility.
  - **Out of Scope**:
    - Tool-specific configuration (handled in downstream repos).
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (Quality gates)","Contract test fails when pipeline deviates from manifest.
Manifest stored at `docs/contracts/ci_quality_gates.yaml`.
Reviews required for manifest changes."
"TBD-EP-09-IMP-01","Build unified test harness CLI","Task","EP-09","High","4","uns-meta, ep09, implementation","- **Background**: Simplify running unit/integration/contract tests locally.
  - **In Scope**:
    - Create CLI that orchestrates test suites, environment setup, and reporting.
    - Provide options for selective test categories.
    - Emit summary JSON consumed by CI.
  - **Out of Scope**:
    - GUI for test execution.
  - **References**:
    - docs/Metadata Sync Microservice Solution Design - Release 1.0.md (Developer workflow)","CLI runs on Windows/Linux/macOS.
Produces exit codes aligning with CI requirements.
Documentation updated."
"TBD-EP-09-IMP-02","Set up CI pipeline with parallel stages","Task","EP-09","Medium","5","uns-meta, ep09, implementation","- **Background**: Optimize CI throughput by running unit, integration, contract tests in parallel.
  - **In Scope**:
    - Configure workflow (GitHub Actions/Azure DevOps) with caching and parallelization.
    - Integrate quality gates manifest.
    - Publish artifacts for logs, coverage, contracts.
  - **Out of Scope**:
    - CD deployment.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (CI requirements)","Pipeline executes in under 30 minutes on baseline hardware.
Failures surface clear context and links to artifacts.
Gates enforced before merge allowed."
"TBD-EP-09-IMP-03","Testing documentation and onboarding","Task","EP-09","Medium","1","uns-meta, ep09, documentation","- **Background**: Provide onboarding guide for developers to run tests locally and interpret CI results.
  - **In Scope**:
    - Document prerequisites, commands, troubleshooting.
    - Explain quality gates and waiver process.
    - Link to harness CLI and fixtures.
  - **Out of Scope**:
    - Corporate onboarding.
  - **References**:
    - docs/Testing Specification - Metadata Sync Microservice - Release 1.0.md (Onboarding)","Guide stored at `docs/runbooks/testing-onboarding.md`.
Includes flowchart for selecting test suites.
Reviewed by new hire buddy program."
